entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
153,371,722,14284,14286,le 10 octobre,date_absolue,jour,1872.0,10.0,10.0,,,1872-10-10,1872-10-10-00-00,9.0,,,,,,date_complete
154,392,761,14820,14821,le 13,date_absolue,jour,1872.0,10.0,13.0,,,1872-10-13,1872-10-13-00-00,12.0,,,,,,jour_seul
155,393,764,14897,14900,pendant la nuit suivante,duree,quantite,,,,,,,,,,,,,,duree_quantite
156,393,764,14925,14928,"le lendemain , 14",relatif,datetime,1872.0,10.0,14.0,0.0,0.0,1872-10-14 00:00,1872-10-14-00-00,13.0,,,,,,lendemain_plus_1
157,395,769,15038,15040,seize cent cinquante,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
158,395,769,15053,15054,quatre heures,heure,heure,1872.0,10.0,14.0,4.0,0.0,1872-10-14 04:00,1872-10-14-04-00,13.0,,,,,,heure_seule
159,396,772,15096,15099,le 15 octobre seulement,date_absolue,jour,1872.0,10.0,15.0,,,1872-10-15,1872-10-15-00-00,14.0,,,,,,date_complete
160,396,772,15100,15101,au matin,relatif,datetime,1872.0,10.0,15.0,8.0,0.0,1872-10-15 08:00,1872-10-15-08-00,14.0,,,,,,moment_matin
161,396,772,15105,15106,le 14,date_absolue,jour,1872.0,10.0,14.0,,,1872-10-14,1872-10-14-00-00,13.0,,,,,,jour_seul
162,396,772,15107,15108,au soir,relatif,datetime,1872.0,10.0,14.0,20.0,0.0,1872-10-14 20:00,1872-10-14-20-00,13.0,,,,,,moment_soir
163,396,773,15115,15116,quinze heures,heure,heure,1872.0,10.0,14.0,15.0,0.0,1872-10-14 15:00,1872-10-14-15-00,13.0,,,,,,heure_seule
164,398,779,15227,15229,deux mille ans,non_parse,non_instancie,,,,,,,,,,,,,,non_parse
165,400,782,15273,15277,à six heures du soir,heure,heure,1872.0,10.0,14.0,18.0,0.0,1872-10-14 18:00,1872-10-14-18-00,13.0,,,,,,heure_seule
166,400,783,15307,15309,cent soixante-huit heures,duree,quantite,,,,,,,,,,,168.0,heure,duree_simple,duree_quantite
167,403,792,15402,15405,le dimanche 20 octobre,date_absolue,jour,1872.0,10.0,20.0,,,1872-10-20,1872-10-20-00-00,19.0,,,,,,date_complete
