entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
76,176,362,7489,7491,dans quatre-vingts jours,relatif,datetime,1873.0,3.0,11.0,8.0,20.0,1873-03-11 08:20,1873-03-11-08-20,161.0,,,,,,offset_80j
77,176,362,7497,7501,le samedi 21 décembre 1872,date_absolue,jour,1872.0,12.0,21.0,,,1872-12-21,1872-12-21-00-00,81.0,,,,,,date_complete
78,176,362,7503,7511,à huit heures quarante - cinq minutes du soir,heure,heure,1872.0,12.0,21.0,20.0,45.0,1872-12-21 20:45,1872-12-21-20-45,81.0,,,,,,heure_seule
79,177,364,7519,7522,à huit heures quarante,heure,heure,1872.0,12.0,21.0,8.0,40.0,1872-12-21 08:40,1872-12-21-08-40,81.0,,,,,,heure_seule
80,177,365,7536,7541,à huit heures quarante - cinq,heure,heure,1872.0,12.0,21.0,8.0,45.0,1872-12-21 08:45,1872-12-21-08-45,81.0,,,,,,heure_seule
81,178,366,7557,7558,la nuit,relatif,datetime,1872.0,12.0,21.0,22.0,0.0,1872-12-21 22:00,1872-12-21-22-00,81.0,,,,,,moment_nuit
82,189,388,7995,7998,pendant les premiers jours,duree,quantite,,,,,,,,,,,,,,duree_quantite
83,190,392,8087,8089,le 7 octobre,date_absolue,jour,1872.0,10.0,7.0,,,1872-10-07,1872-10-07-00-00,6.0,,,,,,date_complete
84,190,396,8209,8210,trois jours,duree,quantite,,,,,,,,,,,3.0,jour,duree_simple,duree_quantite
85,190,396,8216,8217,sept jours,duree,quantite,,,,,,,,,,,7.0,jour,duree_simple,duree_quantite
86,190,397,8248,8250,la mauvaise saison,moment_vague,saison,,,,,,,,,,,,,,moment_vague
87,190,398,8278,8280,pendant l' hiver,duree,quantite,,,,,,,,,,,,,,duree_quantite
88,190,398,8308,8311,deux ou trois jours,duree,quantite,,,,,,,,,,,2.0,jour,duree_simple,duree_quantite
89,190,400,8344,8345,quelques heures,heure,heure,1872.0,10.0,7.0,3.0,0.0,1872-10-07 03:00,1872-10-07-03-00,6.0,,,,,,heure_seule
90,192,403,8395,8401,les premiers jours qui suivirent le départ,duree,quantite,,,,,,,,,,,,,,duree_quantite
91,192,403,8398,8398,qui,garbage_probable,non_temporel,,,,,,,,,,,,,,garbage_probable
92,192,410,8541,8545,cinq jours après son départ,relatif,datetime,1872.0,10.0,12.0,3.0,0.0,1872-10-12 03:00,1872-10-12-03-00,11.0,,,,,,offset_5j
93,193,416,8637,8639,en dix ans,duree,intervalle,1882.0,10.0,12.0,3.0,0.0,1882-10-12 03:00,1882-10-12-03-00,3663.0,1872-10-12 03:00,1882-10-12 03:00,10.0,annee,en,duree_forward_intervalle_en
94,194,419,8757,8759,sept jours après,relatif,datetime,1872.0,10.0,19.0,3.0,0.0,1872-10-19 03:00,1872-10-19-03-00,18.0,,,,,,offset_7j
95,195,420,8782,8784,pendant cette journée,relatif,datetime,1872.0,10.0,19.0,3.0,0.0,1872-10-19 03:00,1872-10-19-03-00,18.0,,,,,,deictique_date_courante
96,195,420,8786,8790,à neuf heures du soir,heure,heure,1872.0,10.0,19.0,21.0,0.0,1872-10-19 21:00,1872-10-19-21-00,18.0,,,,,,heure_seule
97,202,432,8982,8985,le mercredi 9 octobre,date_absolue,jour,1872.0,10.0,9.0,,,1872-10-09,1872-10-09-00-00,8.0,,,,,,date_complete
98,202,432,8989,8993,pour onze heures du matin,heure,heure,1872.0,10.0,9.0,11.0,0.0,1872-10-09 11:00,1872-10-09-11-00,8.0,,,,,,heure_seule
99,205,439,9256,9258,en ce moment,relatif,datetime,1872.0,10.0,9.0,11.0,0.0,1872-10-09 11:00,1872-10-09-11-00,8.0,,,,,,deictique_instant_courant
100,207,442,9358,9360,depuis deux jours,duree,intervalle,1872.0,10.0,9.0,11.0,0.0,1872-10-09 11:00,1872-10-09-11-00,8.0,1872-10-07 11:00,1872-10-09 11:00,2.0,jour,depuis,duree_depuis_intervalle
101,212,450,9552,9552,samedi,relatif,datetime,1872.0,10.0,12.0,11.0,0.0,1872-10-12 11:00,1872-10-12-11-00,11.0,,,,,,jour_semaine_proche
102,212,450,9553,9557,à cinq heures du soir,heure,heure,1872.0,10.0,12.0,17.0,0.0,1872-10-12 17:00,1872-10-12-17-00,11.0,,,,,,heure_seule
103,222,478,10070,10073,dix heures et demie,heure,heure,1872.0,10.0,12.0,10.0,30.0,1872-10-12 10:30,1872-10-12-10-30,11.0,,,,,,heure_seule
104,226,482,10122,10123,quatre heures,heure,heure,1872.0,10.0,12.0,4.0,0.0,1872-10-12 04:00,1872-10-12-04-00,11.0,,,,,,heure_seule
105,233,497,10469,10471,onze heures sonnaient,heure,heure,1872.0,10.0,12.0,11.0,0.0,1872-10-12 11:00,1872-10-12-11-00,11.0,,,,,,heure_seule
106,260,535,11122,11124,en ce moment,relatif,datetime,1872.0,10.0,12.0,11.0,0.0,1872-10-12 11:00,1872-10-12-11-00,11.0,,,,,,deictique_instant_courant
107,283,568,11581,11583,mercredi 2 octobre,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
