triplet_id,chapter,Num_paragr,Num_phrase,Sentence_index,Phrase,Sujet,Verbe,Objet,Lemme_verbe,personnages_triptyque,lieux_triptyque,types_lieux_triptyque,time_texte_phrase,time_code_phrase,date_jour_phrase,jour_romanesque_phrase,time_texte_precedent,time_code_precedent,date_jour_precedent,jour_romanesque_precedent,time_texte_auto,time_code_auto,date_jour_auto,jour_romanesque_auto,source_temps_auto,lieux_labels,a_personnage,a_lieu,deplacement
32,1,3,11,12,"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",,appartenait,à aucune des nombreuses sociétés,appartenir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
33,1,3,11,12,"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",qui,pullulent,dans la capitale de l'Angleterre,pulluler,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
34,1,3,11,12,"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",qui,pullulent,depuis la Société de l'Armonica jusqu'à la Société entomologique,pulluler,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
35,1,3,11,12,"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",,fondée,dans le but,fonder,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
36,1,3,11,12,"Il n' appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l' Angleterre, depuis la Société de l' Armonica jusqu' à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",,détruire,les insectes nuisibles,détruire,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
37,1,4,12,13,"Phileas Fogg était membre du Reform - Club, et voilà tout.",Phileas Fogg,voilà,,voilà,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
38,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,À qui,étonner,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
39,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,s',étonner,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
40,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,étonnerait,de ce,étonner,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
41,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",un gentleman aussi mystérieux,comptât,parmi les membres de cette honorable association,compter,['0'],['3'],['FAC'],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,['reform_club'],True,True,True
42,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",on,répondra,,répondre,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
43,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,passa,sur la recommandation de MM. Baring frères,passer,"['0', '46']",[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
44,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,avait,chez lesquels,avoir,"['0', '46']",[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
45,1,5,13,14,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,avait,un crédit ouvert,avoir,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
46,1,5,14,15,"De là une certaine« surface», due à ce que ses chèques étaient régulièrement payés à vue par le débit de son compte courant invariablement créditeur.",ses chèques,payés,à vue,payer,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
47,1,5,14,15,"De là une certaine« surface», due à ce que ses chèques étaient régulièrement payés à vue par le débit de son compte courant invariablement créditeur.",ses chèques,payés,par le débit de son compte courant invariablement créditeur,payer,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
48,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,fortune,faire,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
49,1,6,17,18,"Mais comment il avait fait fortune, c' est ce que les mieux informés ne pouvaient dire, et Mr. Fogg était le dernier auquel il convînt de s' adresser pour l' apprendre. En tout cas, il n' était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l' apportait silencieusement et même anonymement.",il,fait,En tout cas,faire,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
