cle_triptyque_temps,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_coref,time_code_coref,time_debut_coref,time_fin_coref,time_source_coref,time_ud_governor_coref,time_texte_auto,time_code_auto,time_debut_auto,time_fin_auto,time_source_auto,time_ud_governor_auto,temps_coref,temps_auto,statut_temps
_ || 5762 || 5761,3,110,238,"Andrew Stuart reprit les cartes d' une main fébrile; puis, tout à coup, les posant sur la table:",,posant,les,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5762 || 5765,3,110,238,"Andrew Stuart reprit les cartes d' une main fébrile; puis, tout à coup, les posant sur la table:",,posant,sur la table,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5777 || 5776 || 5773,3,111,239,"«Eh bien, oui, monsieur Fogg, dit -il, oui, je parie quatre mille livres!",-il,dit,monsieur Fogg,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5781 || 5782 || 5785,3,111,239,"«Eh bien, oui, monsieur Fogg, dit -il, oui, je parie quatre mille livres!",je,parie,quatre mille livres,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5792 || 5790,3,112,241,"-Mon cher Stuart, dit Fallentin, calmez -vous.",,dit,-Mon cher Stuart,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5792 || 5793,3,112,241,"-Mon cher Stuart, dit Fallentin, calmez -vous.",,dit,Fallentin,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5795 || _,3,112,241,"-Mon cher Stuart, dit Fallentin, calmez -vous.",,calmez,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5806 || 5807 || _,3,113,243,"- Quand je dis: je parie, répondit Andrew Stuart, c' est toujours sérieux.",je,dis,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5809 || 5810 || _,3,113,243,"- Quand je dis: je parie, répondit Andrew Stuart, c' est toujours sérieux.",je,parie,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5813 || 5812 || _,3,113,243,"- Quand je dis: je parie, répondit Andrew Stuart, c' est toujours sérieux.",Andrew Stuart,répondit,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5822 || _,3,114,244,- Soit!» dit Mr. Fogg.,,Soit,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5826 || 5825 || _,3,114,244,- Soit!» dit Mr. Fogg.,Mr. Fogg,dit,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5832 || 5831,3,114,245,"Puis, se tournant vers ses collègues:",,tournant,se,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5832 || 5835,3,114,245,"Puis, se tournant vers ses collègues:",,tournant,vers ses collègues,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5838 || 5839 || 5842,3,115,246,«J' ai vingt mille livres( 500 000 F) déposées chez Baring frères.,J',ai,vingt mille livres 500 000 F,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5848 || 5850,3,115,246,«J' ai vingt mille livres( 500 000 F) déposées chez Baring frères.,,déposées,chez Baring frères,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5853 || 5855 || 5854,3,115,247,Je les risquerai volontiers…,Je,risquerai,les,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5865 || 5864 || _,3,116,248,- Vingt mille livres! s' écria John Sullivan.,John Sullivan,écria,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5873 || 5875 || _,3,116,249,Vingt mille livres qu' un retard imprévu peut vous faire perdre!,un retard imprévu,peut,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5873 || 5878 || 5876,3,116,249,Vingt mille livres qu' un retard imprévu peut vous faire perdre!,un retard imprévu,perdre,vous,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5882 || 5884 || _,3,117,250,"- L' imprévu n' existe pas, répondit simplement Phileas Fogg.",L'imprévu,existe,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5889 || 5887 || _,3,117,250,"- L' imprévu n' existe pas, répondit simplement Phileas Fogg.",Phileas Fogg,répondit,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5899 || 5905 || 5895,3,118,251,"- Mais, monsieur Fogg, ce laps de quatre-vingts jours n' est calculé que comme un minimum de temps!",ce laps de quatre-vingts jours,calculé,monsieur Fogg,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5899 || 5905 || 5909,3,118,251,"- Mais, monsieur Fogg, ce laps de quatre-vingts jours n' est calculé que comme un minimum de temps!",ce laps de quatre-vingts jours,calculé,que comme un minimum de temps,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5917 || _,3,119,252,- Un minimum bien employé suffit à tout.,,employé,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5915 || 5918 || 5920,3,119,252,- Un minimum bien employé suffit à tout.,Un minimum,suffit,à tout,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5928 || 5927,3,120,253,"- Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer!",,dépasser,le,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5931 || _,3,120,253,"- Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer!",,faut,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5932 || 5935,3,120,253,"- Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer!",,sauter,des railways,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5932 || 5938,3,120,253,"- Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer!",,sauter,dans les paquebots,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5949 || 5950 || _,3,121,254,-Je sauterai mathématiquement.,-Je,sauterai,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5962 || 5964 || _,3,123,256,"- Un bon Anglais ne plaisante jamais, quand il s' agit d' une chose aussi sérieuse qu' un pari, répondit Phileas Fogg.",Un bon Anglais,plaisante,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5962 || 5970 || 5969,3,123,256,"- Un bon Anglais ne plaisante jamais, quand il s' agit d' une chose aussi sérieuse qu' un pari, répondit Phileas Fogg.",Un bon Anglais,agit,s',tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5962 || 5970 || 5973,3,123,256,"- Un bon Anglais ne plaisante jamais, quand il s' agit d' une chose aussi sérieuse qu' un pari, répondit Phileas Fogg.",Un bon Anglais,agit,d'une chose aussi sérieuse qu'un pari,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5981 || 5980 || _,3,123,256,"- Un bon Anglais ne plaisante jamais, quand il s' agit d' une chose aussi sérieuse qu' un pari, répondit Phileas Fogg.",Phileas Fogg,répondit,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5984 || 5985 || 5988,3,123,257,"Je parie vingt mille livres contre qui voudra que je ferai le tour de la terre en quatre-vingts jours ou moins, soit dix-neuf cent vingt heures ou cent quinze mille deux cents minutes.",Je,parie,vingt mille livres,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5984 || 5991 || _,3,123,257,"Je parie vingt mille livres contre qui voudra que je ferai le tour de la terre en quatre-vingts jours ou moins, soit dix-neuf cent vingt heures ou cent quinze mille deux cents minutes.",Je,voudra,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 6019 || _,3,123,258,Acceptez -vous?,,Acceptez,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
6022 || 6023 || _,3,124,259,"-Nous acceptons, répondirent MM. Stuart, Fallentin, Sullivan, Flanagan et Ralph, après s' être entendus.",-Nous,acceptons,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 6025 || 6026,3,124,259,"-Nous acceptons, répondirent MM. Stuart, Fallentin, Sullivan, Flanagan et Ralph, après s' être entendus.",,répondirent,MM. Stuart Fallentin Sullivan Flanagan et Ralph,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 6040 || 6038,3,124,259,"-Nous acceptons, répondirent MM. Stuart, Fallentin, Sullivan, Flanagan et Ralph, après s' être entendus.",,entendus,s',tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
6046 || 6045 || _,3,125,260,"- Bien, dit Mr. Fogg.",Mr. Fogg,dit,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
6050 || 6053 || 6056,3,125,261,Le train de Douvres part à huit heures quarante - cinq.,Le train de Douvres,part,à huit heures quarante-cinq,à huit heures quarante - cinq,1872-10-02-20-00,,,objet,part,à huit heures quarante - cinq,1872-09-29-08-45,,,objet,part,1872-10-02-20,1872-09-29-08-45,temps_different
6061 || 6063 || 6062,3,125,262,Je le prendrai.,Je,prendrai,le,à huit heures quarante - cinq,1872-10-02-20-00,,,precedent_context,part,à huit heures quarante - cinq,1872-09-29-08-45,,,precedent_context,part,1872-10-02-20,1872-09-29-08-45,temps_different
6070 || 6069 || _,3,126,263,-Ce soir même? demanda Stuart.,Stuart,demanda,,-ce soir même,1872-10-02-20-00,,,precedent_context,parié,-ce soir même,1872-09-29-20-00,,,precedent_context,parié,1872-10-02-20,1872-09-29-20,temps_different
6077 || 6076 || 6073,3,127,264,"-Ce soir même, répondit Phileas Fogg.",Phileas Fogg,répondit,-Ce soir même,-ce soir même,1872-10-02-20-00,,,objet,répondit,-ce soir même,1872-09-29-20-00,,,objet,répondit,1872-10-02-20,1872-09-29-20,temps_different
