cle_triptyque_temps,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_coref,time_code_coref,time_debut_coref,time_fin_coref,time_source_coref,time_ud_governor_coref,time_texte_auto,time_code_auto,time_debut_auto,time_fin_auto,time_source_auto,time_ud_governor_auto,temps_coref,temps_auto,statut_temps
4105 || 4107 || 4116,3,54,158,"- Comment, ce n' est pas un voleur, cet individu qui a soustrait cinquante - cinq mille livres en bank - notes( 1 million 375 000 francs)?",qui,soustrait,bank-notes,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4129 || 4128 || _,3,55,159,"- Non, répondit Gauthier Ralph.",Gauthier Ralph,répondit,,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4140 || 4139 || _,3,56,160,- C' est donc un industriel? dit John Sullivan.,John Sullivan,dit,,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4145 || 4147 || _,3,57,161,- Le Morning Chronicle assure que c' est un gentleman.»,Le Morning Chronicle,assure,,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4156 || 4157 || 4159,3,58,162,"Celui qui fit cette réponse n' était autre que Phileas Fogg, dont la tête émergeait alors du flot de papier amassé autour de lui.",qui,fit,cette réponse,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4169 || 4170 || 4173,3,58,162,"Celui qui fit cette réponse n' était autre que Phileas Fogg, dont la tête émergeait alors du flot de papier amassé autour de lui.",dont la tête,émergeait,du flot de papier autour de lui,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
_ || 4176 || _,3,58,162,"Celui qui fit cette réponse n' était autre que Phileas Fogg, dont la tête émergeait alors du flot de papier amassé autour de lui.",,amassé,,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4185 || 4187 || 4183,3,58,163,"En même temps, Phileas Fogg salua ses collègues, qui lui rendirent son salut.",Phileas Fogg,salua,En même temps,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4185 || 4187 || 4189,3,58,163,"En même temps, Phileas Fogg salua ses collègues, qui lui rendirent son salut.",Phileas Fogg,salua,ses collègues,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4191 || 4193 || 4192,3,58,163,"En même temps, Phileas Fogg salua ses collègues, qui lui rendirent son salut.",qui,rendirent,lui,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4191 || 4193 || 4195,3,58,163,"En même temps, Phileas Fogg salua ses collègues, qui lui rendirent son salut.",qui,rendirent,son salut,à six heures moins vingt,1872-10-02-17-00,,,precedent_context,reparut,à six heures moins vingt,1872-10-02-05-40,,,precedent_context,reparut,1872-10-02-17,1872-10-02-05-40,temps_different
4207 || 4212 || 4204,3,59,164,"Le fait dont il était question, que les divers journaux du Royaume - Uni discutaient avec ardeur, s' était accompli trois jours auparavant, le 29 septembre.",les divers journaux du Royaume-Uni,discutaient,que,trois jours auparavant,1872-09-29-00-00,,,ud_scope_anchor,accompli,trois jours auparavant,1872-09-29-06-10,,,ud_scope_anchor,accompli,1872-09-29-00,1872-09-29-06-10,temps_different
4207 || 4212 || 4214,3,59,164,"Le fait dont il était question, que les divers journaux du Royaume - Uni discutaient avec ardeur, s' était accompli trois jours auparavant, le 29 septembre.",les divers journaux du Royaume-Uni,discutaient,avec ardeur,trois jours auparavant,1872-09-29-00-00,,,ud_scope_anchor,accompli,trois jours auparavant,1872-09-29-06-10,,,ud_scope_anchor,accompli,1872-09-29-00,1872-09-29-06-10,temps_different
4198 || 4218 || 4220,3,59,164,"Le fait dont il était question, que les divers journaux du Royaume - Uni discutaient avec ardeur, s' était accompli trois jours auparavant, le 29 septembre.",Le fait dont il était question,accompli,trois jours auparavant,trois jours auparavant,1872-09-29-00-00,,,objet,accompli,trois jours auparavant,1872-09-29-06-10,,,objet,accompli,1872-09-29-00,1872-09-29-06-10,temps_different
4451 || 4494 || 4497,3,61,171,"Un des meilleurs observateurs des usages anglais raconte même ceci: Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d' or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier; il prit ce lingot, l' examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s' en alla jusqu' au fond d' un corridor obscur, et ne revint qu' une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.",il,revint,qu'une demi-heure,une demi-heure après,,,,objet,revint,une demi-heure après,1872-09-29-00-30,,,objet,revint,,1872-09-29-00-30,seulement_auto
_ || 4499 || 4501,3,61,171,"Un des meilleurs observateurs des usages anglais raconte même ceci: Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d' or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier; il prit ce lingot, l' examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s' en alla jusqu' au fond d' un corridor obscur, et ne revint qu' une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.",,reprendre,sa place,le 29 septembre,1872-09-29-00-00,,,precedent_context,accompli,une demi-heure après,1872-09-29-00-30,,,ud_scope_anchor,revint,1872-09-29-00,1872-09-29-00-30,temps_different
4506 || 4509 || 4511,3,61,171,"Un des meilleurs observateurs des usages anglais raconte même ceci: Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d' or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier; il prit ce lingot, l' examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s' en alla jusqu' au fond d' un corridor obscur, et ne revint qu' une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.",le caissier,levé,la tête,le 29 septembre,1872-09-29-00-00,,,precedent_context,accompli,une demi-heure après,1872-09-29-00-30,,,ud_scope_anchor,revint,1872-09-29-00,1872-09-29-00-30,temps_different
4544 || 4555 || 4558,3,62,173,"La liasse de bank - notes ne revint pas, et quand la magnifique horloge, posée au-dessus du« drawing - office», sonna à cinq heures la fermeture des bureaux, la Banque d' Angleterre n' avait plus qu' à passer cinquante - cinq mille livres par le compte de profits et pertes.",la magnifique horloge,sonna,à cinq heures,à cinq heures,,,,objet,sonna,à cinq heures,1872-09-29-05-00,,,objet,sonna,,1872-09-29-05,seulement_auto
4544 || 4555 || 4560,3,62,173,"La liasse de bank - notes ne revint pas, et quand la magnifique horloge, posée au-dessus du« drawing - office», sonna à cinq heures la fermeture des bureaux, la Banque d' Angleterre n' avait plus qu' à passer cinquante - cinq mille livres par le compte de profits et pertes.",la magnifique horloge,sonna,la fermeture des bureaux,à cinq heures,,,,ud_direct,sonna,à cinq heures,1872-09-29-05-00,,,ud_direct,sonna,,1872-09-29-05,seulement_auto
5285 || 5284 || 5281,3,80,205,"- En quatre-vingts jours seulement, dit Phileas Fogg.",Phileas Fogg,dit,En quatre-vingts jours seulement,en quatre-vingts jours,,,,objet,dit,en quatre-vingts jours seulement,1872-12-18-00-00,1872-09-29 00:00,1872-12-18 00:00,objet,dit,,1872-12-18-00,seulement_auto
5710 || 5709 || 5708,3,108,235,"- C' est de la folie! s' écria Andrew Stuart, qui commençait à se vexer de l' insistance de son partenaire.",Andrew Stuart,écria,s',tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5713 || 5714 || _,3,108,235,"- C' est de la folie! s' écria Andrew Stuart, qui commençait à se vexer de l' insistance de son partenaire.",qui,commençait,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
