chapter,Phrase,Sujet,Verbe,Objet,time_code,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
,"Ce quai de la gare lui brûlait les pieds, et il ne pouvait s' en arracher.",Ce quai de la gare,brûlait,lui,1872-12-09-17-03,Dpt au sens large,Dpt au sens strict,télique,manière
,"Le mécanicien siffla, le train se mit en marche, et disparut bientôt, mêlant sa fumée blanche au tourbillon des neiges.",Le mécanicien,disparut,,1872-12-09-17-03,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, malgré la rafale, quittait à chaque instant la chambre qui avait été mise à sa disposition.",Aouda,quittait,malgré la rafale,1872-12-09-03-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, malgré la rafale, quittait à chaque instant la chambre qui avait été mise à sa disposition.",Aouda,quittait,à chaque instant,1872-12-09-03-00,Dpt au sens large,Dpt au sens strict,télique,
,"Aouda, malgré la rafale, quittait à chaque instant la chambre qui avait été mise à sa disposition.",Aouda,quittait,la chambre,1872-12-09-03-00,Dpt au sens large,Dpt au sens strict,télique,
,"Elle venait à l' extrémité du quai, cherchant à voir à travers la tempête de neige, voulant percer cette brume qui réduisait l' horizon autour d' elle, écoutant si quelque bruit se ferait entendre.",Elle,venait,à l'extrémité du quai,1872-12-09-03-00,Dpt au sens large,Dpt au sens strict,télique,
,"Elle rentrait alors, toute transie, pour revenir quelques moments plus tard, et toujours inutilement.",Elle,revenir,quelques moments plus tard et toujours inutilement,,Dpt au sens large,Dpt au sens strict,télique,
,Avait -il pu rejoindre les Indiens?,-il,rejoindre,les Indiens,1872-12-09-20-00,Dpt au sens large,Dpt au sens strict,télique,
,"Y avait -il eu lutte, ou ces soldats, perdus dans la brume, erraient -ils au hasard?",ces soldats,erraient,au hasard,1872-12-09-20-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Aouda, l' esprit plein de pressentiments sinistres, le cœur rempli d' angoisses, erra sur la lisière de la prairie.",Aouda l'esprit plein de pressentiments sinistres le cœur,erra,sur la lisière de la prairie,1872-12-09-22-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"À un certain moment, un homme s' était approché, lui avait parlé même, mais l' agent l' avait renvoyé, après répondu à ses paroles par un signe négatif.",un homme,approché,À un certain moment,1872-12-09-22-00,Dpt au sens large,Dpt au sens strict,télique,
,"À un certain moment, un homme s' était approché, lui avait parlé même, mais l' agent l' avait renvoyé, après répondu à ses paroles par un signe négatif.",un homme,approché,s',1872-12-09-22-00,Dpt au sens large,Dpt au sens strict,télique,
,"Les soldats se jetèrent hors du fort, et à un demi-mille ils aperçurent une petite troupe qui revenait en bon ordre.",Les soldats,jetèrent,se,1872-12-09-07-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Les soldats se jetèrent hors du fort, et à un demi-mille ils aperçurent une petite troupe qui revenait en bon ordre.",Les soldats,jetèrent,hors du fort,1872-12-09-07-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Les soldats se jetèrent hors du fort, et à un demi-mille ils aperçurent une petite troupe qui revenait en bon ordre.",qui,revenait,en bon ordre,1872-12-09-07-00,Dpt au sens large,Dpt au sens strict,télique,
,"Mr. Fogg marchait en tête, et près de lui Passepartout et les deux autres voyageurs, arrachés aux mains des Sioux.",Mr. Fogg,marchait,en tête,1872-12-09-07-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Aouda, elle avait pris la main du gentleman, et elle la serrait dans les siennes, sans pouvoir prononcer une parole!",elle,serrait,la,1872-12-09-07-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Aouda, elle avait pris la main du gentleman, et elle la serrait dans les siennes, sans pouvoir prononcer une parole!",elle,serrait,dans les siennes,1872-12-09-07-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"En ce moment, l' inspecteur s' approcha de Mr. Fogg, et, le regardant bien en face:",l'inspecteur,approcha,En ce moment,1872-12-09-20-00,Dpt au sens large,Dpt au sens strict,télique,
,"En ce moment, l' inspecteur s' approcha de Mr. Fogg, et, le regardant bien en face:",l'inspecteur,approcha,s',1872-12-09-20-00,Dpt au sens large,Dpt au sens strict,télique,
,"En ce moment, l' inspecteur s' approcha de Mr. Fogg, et, le regardant bien en face:",l'inspecteur,approcha,de Mr. Fogg,1872-12-09-20-00,Dpt au sens large,Dpt au sens strict,télique,
,"- Et si votre voyage n' eût pas été interrompu par cette attaque d' Indiens, vous seriez arrivé à New York le 11, dès le matin?",vous,arrivé,à New York,1872-12-11-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"- Et si votre voyage n' eût pas été interrompu par cette attaque d' Indiens, vous seriez arrivé à New York le 11, dès le matin?",vous,arrivé,le 11,1872-12-11-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"- Et si votre voyage n' eût pas été interrompu par cette attaque d' Indiens, vous seriez arrivé à New York le 11, dès le matin?",vous,arrivé,dès le matin,1872-12-11-08-00,Dpt au sens large,Dpt au sens strict,télique,
,"Phileas Fogg ne répondit pas à Fix; mais Fix lui ayant montré l' homme en question qui se promenait devant la gare, le gentleman alla à lui.",le gentleman,alla,à lui,1872-12-11-08-00,Dpt au sens large,Dpt au sens strict,télique,
,"Un instant après, Phileas Fogg et cet Américain, nommé Mudge, entraient dans une hutte construite au bas du fort Kearney.",Phileas Fogg et cet Américain,entraient,dans une hutte,1872-12-11-08-00,Dpt au sens large,Dpt au sens strict,télique,
,"En effet, pour rien au monde il n' eût voulu quitter son maître, puisque Fix devait l' accompagner.",il,quitter,son maître,1872-12-11-08-00,Dpt au sens large,Dpt au sens strict,télique,
,Peut - être l' opinion de Fix touchant Phileas Fogg était -elle en effet modifiée.,,touchant,Phileas Fogg,1872-12-11-08-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,Les voyageurs- on serait tenté de dire les passagers - y prenaient place et se serraient étroitement dans leurs couvertures de voyage.,passagers-y,serraient,dans leurs couvertures de voyage,1872-12-11-08-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Le froid, accru par la vitesse, leur eût coupé la parole.",Le froid,coupé,leur,1872-12-11-06-00,Dpt au sens large,Dpt au sens strict,télique,
,"Le froid, accru par la vitesse, leur eût coupé la parole.",Le froid,coupé,leur,1872-12-11-06-00,Dynamicité spatiale sans dpt,Ch. de disposition,télique,manière
,"«Si rien ne casse, dit Mudge, nous arriverons!»",nous,arriverons,,1872-12-11-06-00,Dpt au sens large,Dpt au sens strict,télique,
,"Et Mudge avait intérêt à arriver dans le délai convenu, car Mr. Fogg, fidèle à son système, l' avait alléché par une forte prime.",Mudge,arriver,dans le délai,1872-12-11-06-00,Dpt au sens large,Dpt au sens strict,télique,
,Il suivait pendant tout son parcours la rive droite de Platte - river.,Il,suivait,pendant tout son parcours,,Dpt au sens large,Dpt au sens faible,atélique,
,"Au lieu d' arriver le matin à New York, on y arriverait le soir, mais il y avait encore quelques chances pour que ce fût avant le départ du paquebot de Liverpool.",on,arriverait,Au lieu,1872-12-11-20-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au lieu d' arriver le matin à New York, on y arriverait le soir, mais il y avait encore quelques chances pour que ce fût avant le départ du paquebot de Liverpool.",on,arriverait,y,1872-12-11-20-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au lieu d' arriver le matin à New York, on y arriverait le soir, mais il y avait encore quelques chances pour que ce fût avant le départ du paquebot de Liverpool.",on,arriverait,le soir,1872-12-11-20-00,Dpt au sens large,Dpt au sens strict,télique,
,Passepartout avait même éprouvé une forte envie de serrer la main de son allié Fix.,,serrer,la main de son allié Fix,1872-12-11-20-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Pendant que chacun des voyageurs se laissait aller à des réflexions si diverses, le traîneau volait sur l' immense tapis de neige.",chacun des voyageurs,aller,à des réflexions si diverses,1872-12-11-20-00,Dpt au sens large,Dpt au sens strict,télique,
,"Si quelque accident eût alors arrêté le traîneau, les voyageurs, attaqués par ces féroces carnassiers, auraient couru les plus grands risques.",les voyageurs,couru,les plus grands risques,1872-12-11-20-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"À midi, Mudge reconnut à quelques indices qu' il passait le cours glacé de la Platte - river.",Mudge,reconnut,À midi,1872-12-11-12-00,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,
,"À midi, Mudge reconnut à quelques indices qu' il passait le cours glacé de la Platte - river.",Mudge,reconnut,à quelques indices,1872-12-11-12-00,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,
,"À midi, Mudge reconnut à quelques indices qu' il passait le cours glacé de la Platte - river.",il,passait,le cours glacé de la Platte-river,1872-12-11-12-00,Dpt au sens large,Dpt au sens strict,télique,
,"Il ne dit rien, mais il était déjà sûr que, vingt milles plus loin, il aurait atteint la station d' Omaha.",il,atteint,la station d'Omaha,1872-12-11-12-00,Dpt au sens large,Dpt au sens strict,télique,
,"Et, en effet, il n' était pas une heure, que ce guide habile, abandonnant la barre, se précipitait aux drisses des voiles et les amenait en bande, pendant que le traîneau, emporté par son irrésistible élan, franchissait encore un demi-mille à sec de toile.",ce guide habile,abandonnant,la barre,1872-12-11-01-00,Dpt au sens large,Dpt au sens strict,télique,
,«Nous sommes arrivés.»,Nous,arrivés,,1872-12-11-01-00,Dpt au sens large,Dpt au sens strict,télique,
,Passepartout et Fix avaient sauté à terre et secouaient leurs membres engourdis.,Passepartout et Fix,sauté,à terre,1872-12-11-01-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,manière
,Ils aidèrent Mr. Fogg et la jeune femme à descendre du traîneau.,Ils,descendre,du traîneau,1872-12-11-01-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Phileas Fogg régla généreusement avec Mudge, auquel Passepartout serra la main comme à un ami, et tous se précipitèrent vers la gare d' Omaha.",Passepartout,serra,auquel,1872-12-11-01-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Phileas Fogg régla généreusement avec Mudge, auquel Passepartout serra la main comme à un ami, et tous se précipitèrent vers la gare d' Omaha.",Passepartout,serra,la main,1872-12-11-01-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Phileas Fogg régla généreusement avec Mudge, auquel Passepartout serra la main comme à un ami, et tous se précipitèrent vers la gare d' Omaha.",Passepartout,serra,comme à un ami,1872-12-11-01-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,Mr. Fogg passa immédiatement de l' un dans l' autre.,Mr. Fogg,passa,de l'un,1872-12-12-16-00,Dpt au sens large,Dpt au sens strict,télique,
,Mr. Fogg passa immédiatement de l' un dans l' autre.,Mr. Fogg,passa,dans l'autre,1872-12-12-16-00,Dpt au sens large,Dpt au sens strict,télique,
,"Elle traversa comme un éclair l' Indiana, l' Ohio, la Pennsylvanie, le New Jersey, passant par des villes aux noms antiques, dont quelques - unes avaient des rues et des tramways, mais pas de maisons encore.",Elle,traversa,comme un éclair,1872-12-12-16-00,Dpt au sens large,Dpt au sens strict,télique,
