groupe,entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
relatif,12,14,47,1503,1505,en ce moment,relatif,datetime,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,deictique_instant_courant
relatif,15,26,71,1869,1873,à partir de ce moment,relatif,datetime,1872.0,10.0,2.0,11.0,22.0,1872-10-02 11:22,1872-10-02-11-22,1.0,,,,,,deictique_instant_courant
relatif,21,39,125,3160,3164,depuis huit heures du matin,relatif,datetime,1872.0,10.0,2.0,8.0,0.0,1872-10-02 08:00,1872-10-02-08-00,1.0,,,,,,heure_depuis_jusqu
relatif,22,39,125,3175,3180,jusqu' à onze heures et demie,relatif,datetime,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_depuis_jusqu
relatif,30,46,147,3802,3808,jusqu' à trois heures quarante - cinq,relatif,datetime,1872.0,10.0,2.0,3.0,45.0,1872-10-02 03:45,1872-10-02-03-45,1.0,,,,,,heure_depuis_jusqu
relatif,31,46,147,3820,3822,jusqu' au dîner,relatif,datetime,1872.0,10.0,2.0,19.0,0.0,1872-10-02 19:00,1872-10-02-19-00,1.0,,,,,,moment_diner
relatif,32,46,148,3824,3825,ce repas,relatif,datetime,1872.0,10.0,2.0,12.0,0.0,1872-10-02 12:00,1872-10-02-12-00,1.0,,,,,,moment_repas
relatif,33,46,148,3833,3834,le déjeuner,relatif,datetime,1872.0,10.0,2.0,12.0,0.0,1872-10-02 12:00,1872-10-02-12-00,1.0,,,,,,moment_dejeuner
relatif,35,48,150,3868,3871,une demi-heure plus tard,relatif,datetime,1872.0,10.0,2.0,6.0,10.0,1872-10-02 06:10,1872-10-02-06-10,1.0,,,,,,offset_30min
relatif,36,59,164,4219,4221,trois jours auparavant,relatif,datetime,1872.0,9.0,29.0,6.0,10.0,1872-09-29 06:10,1872-09-29-06-10,-2.0,,,,,,offset_-3j
relatif,39,61,171,4496,4498,une demi-heure après,relatif,datetime,1872.0,9.0,29.0,0.0,30.0,1872-09-29 00:30,1872-09-29-00-30,-2.0,,,,,,offset_30min
relatif,43,75,198,5172,5176,il y a cent ans,relatif,annee,1772.0,,,,,1772,1772-00-00-00-00,,,,,,,annee_moins_100
relatif,59,126,263,6065,6067,-ce soir même,relatif,datetime,1872.0,9.0,29.0,20.0,0.0,1872-09-29 20:00,1872-09-29-20-00,-2.0,,,,,,moment_soir
relatif,60,127,264,6072,6074,-ce soir même,relatif,datetime,1872.0,9.0,29.0,20.0,0.0,1872-09-29 20:00,1872-09-29-20-00,-2.0,,,,,,moment_soir
relatif,67,133,280,6404,6406,cette heure insolite,relatif,datetime,1872.0,12.0,21.0,7.0,50.0,1872-12-21 07:50,1872-12-21-07-50,81.0,,,,,,deictique_instant_courant
relatif,70,141,292,6534,6536,dans dix minutes,relatif,datetime,1872.0,12.0,21.0,0.0,10.0,1872-12-21 00:10,1872-12-21-00-10,81.0,,,,,,offset_10min
relatif,75,166,347,7234,7236,en ce moment,relatif,datetime,1872.0,12.0,21.0,8.0,20.0,1872-12-21 08:20,1872-12-21-08-20,81.0,,,,,,deictique_instant_courant
relatif,76,176,362,7489,7491,dans quatre-vingts jours,relatif,datetime,1873.0,3.0,11.0,8.0,20.0,1873-03-11 08:20,1873-03-11-08-20,161.0,,,,,,offset_80j
intervalle,9,12,44,1399,1406,entre onze heures et onze heures et demie,intervalle,heure,1872.0,10.0,2.0,11.0,0.0,1872-10-02 11:00,1872-10-02-11-00,1.0,1872-10-02 11:00,1872-10-02 11:30,,,,intervalle_heure
intervalle,132,306,597,12060,12069,de sept heures vingt du matin à huit heures quarante,intervalle,heure,1872.0,10.0,9.0,7.0,20.0,1872-10-09 07:20,1872-10-09-07-20,8.0,1872-10-09 07:20,1872-10-09 08:40,,,,intervalle_heure
intervalle,560,1368,3032,59680,59687,pendant la nuit du 5 au 6 décembre,intervalle,jour,1872.0,12.0,5.0,,,1872-12-05,1872-12-05-00-00,65.0,1872-12-05,1872-12-06,,,,du_au_date
intervalle,561,1368,3032,59681,59687,la nuit du 5 au 6 décembre,intervalle,jour,1872.0,12.0,5.0,,,1872-12-05,1872-12-05-00-00,65.0,1872-12-05,1872-12-06,,,,du_au_date
intervalle,563,1371,3039,59922,59926,de onze heures à midi,intervalle,heure,1872.0,12.0,5.0,11.0,0.0,1872-12-05 11:00,1872-12-05-11-00,65.0,1872-12-05 11:00,1872-12-05 12:00,,,,intervalle_heure
intervalle,709,1749,3888,75935,75944,dans les neuf jours comptés du 12 décembre au 21,intervalle,jour,1872.0,12.0,12.0,,,1872-12-12,1872-12-12-00-00,72.0,1872-12-12,1872-12-21,,,,du_au_jour
moment_vague,57,123,257,6006,6017,soit dix-neuf cent vingt heures ou cent quinze mille deux cents minutes,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,86,190,397,8248,8250,la mauvaise saison,moment_vague,saison,,,,,,,,,,,,,,moment_vague
moment_vague,131,296,582,11892,11895,en peu d' instants,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,184,422,830,16533,16535,le bon temps,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,259,632,1295,25767,25770,l' approche du jour,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,264,649,1336,26445,26447,en quelques instants,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,274,672,1397,27769,27772,à la bonne heure,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,278,685,1425,28312,28315,cette époque plus réaliste,moment_vague,saison,,,,,,,,,,,,,,moment_vague
moment_vague,279,687,1438,28598,28600,la saison avancée,moment_vague,saison,,,,,,,,,,,,,,moment_vague
moment_vague,310,790,1659,32715,32717,ces longues heures,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,330,827,1767,35009,35014,le dernier quartier de la lune,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,346,858,1867,36830,36833,ce temps d' épreuve,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,382,942,2055,40244,40247,depuis quelque temps déjà,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,419,1068,2280,43973,43974,le crépuscule,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,421,1073,2301,44427,44429,au dernier moment,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,437,1092,2358,45456,45459,à un certain moment,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,439,1100,2370,45614,45616,en équinoxe hiver,moment_vague,saison,,,,,,,,,,,,,,moment_vague
moment_vague,522,1291,2818,55230,55232,ce beau temps,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,545,1354,2984,58435,58437,en quelques instants,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
moment_vague,566,1376,3052,60234,60236,depuis cette époque,moment_vague,saison,,,,,,,,,,,,,,moment_vague
garbage_probable,91,192,403,8398,8398,qui,garbage_probable,non_temporel,,,,,,,,,,,,,,garbage_probable
garbage_probable,176,408,806,15770,15770,laquelle,garbage_probable,non_temporel,,,,,,,,,,,,,,garbage_probable
garbage_probable,370,893,1949,38268,38271,le traité de nanking,garbage_probable,non_temporel,,,,,,,,,,,,,,garbage_probable
garbage_probable,416,1062,2268,43691,43693,on était encore,garbage_probable,non_temporel,,,,,,,,,,,,,,garbage_probable
