triplet_row,triplet_id,Num_paragr,Num_phrase,chapter,verbe,lemme_verbe,est_verbe_deplacement,lieu_entity_id,lieu_texte,lieu_normalise,lieu_id_auto,niveau_lieu,lieu_cat,prep_lieu,relation_lieu,lien_triptyque_lieu,distance_verbe_lieu,head_dependency_relation,head_syntactic_head_ID
9854,9854,1461,3250,,passer,passer,True,2487,des rivières,rivières,toponyme::rivieres,toponyme,LOC,de,source,ud_ancetre_verbe,1,obj,64973
9854,9854,1461,3250,,passer,passer,True,2488,des trains rigides,trains rigides,vehicule::trains rigides,vehicule,VEH,avec,cadre,objet,8,obl:mod,64973
9863,9863,1465,3255,,tenter,tenter,False,2489,du medicine - creek,medicine - creek,lieu_precis::medicine creek,lieu_precis,FAC,de,source,ud_ancetre_verbe,5,nmod,65053
9864,9864,1465,3255,,opérer,opérer,False,2489,du medicine - creek,medicine - creek,lieu_precis::medicine creek,lieu_precis,FAC,de,source,objet,3,nmod,65053
9914,9914,1479,3277,,répétait,répéter,False,2490,voiture,voiture,vehicule::voiture,vehicule,VEH,en,cadre,objet,4,obl:mod,65379
9916,9916,1479,3279,,penser,penser,False,2491,ce pont,ce pont,lieu_precis::ce pont,lieu_precis,FAC,a;sur,cadre,ud_ancetre_verbe,16,obl:arg,65409
9916,9916,1479,3279,,penser,penser,False,2492,le train,train,vehicule::train,vehicule,VEH,,cadre,ud_ancetre_verbe,24,conj,65409
9917,9917,1479,3279,,passer,passer,True,2491,ce pont,ce pont,lieu_precis::ce pont,lieu_precis,FAC,a;sur,destination,ud_ancetre_verbe,4,obl:arg,65409
9917,9917,1479,3279,,passer,passer,True,2492,le train,train,vehicule::train,vehicule,VEH,,cadre,ud_ancetre_verbe,12,conj,65409
9918,9918,1479,3279,,passer,passer,True,2491,ce pont,ce pont,lieu_precis::ce pont,lieu_precis,FAC,a;sur,destination,objet,4,obl:arg,65409
9918,9918,1479,3279,,passer,passer,True,2492,le train,train,vehicule::train,vehicule,VEH,,cadre,ud_ancetre_verbe,12,conj,65409
9919,9919,1479,3279,,passer,passer,True,2491,ce pont,ce pont,lieu_precis::ce pont,lieu_precis,FAC,a;sur,destination,ud_ancetre_verbe,4,obl:arg,65409
9919,9919,1479,3279,,passer,passer,True,2492,le train,train,vehicule::train,vehicule,VEH,,cadre,ud_ancetre_verbe,12,conj,65409
9929,9929,1482,3285,,siffla,siffler,False,2493,la locomotive,locomotive,vehicule::locomotive,vehicule,VEH,,cadre,sujet,2,nsubj,65479
9931,9931,1482,3286,,ramena,ramener,False,2494,son train,son train,vehicule::son train,vehicule,VEH,,cadre,objet,1,obj,65489
9932,9932,1482,3286,,ramena,ramener,False,2494,son train,son train,vehicule::son train,vehicule,VEH,,cadre,ud_ancetre_verbe,1,obj,65489
9933,9933,1482,3286,,ramena,ramener,False,2494,son train,son train,vehicule::son train,vehicule,VEH,,cadre,ud_ancetre_verbe,1,obj,65489
9934,9934,1482,3286,,ramena,ramener,False,2494,son train,son train,vehicule::son train,vehicule,VEH,,cadre,ud_ancetre_verbe,1,obj,65489
9935,9935,1482,3286,,reculant,reculer,True,2494,son train,son train,vehicule::son train,vehicule,VEH,,cadre,phrase_proche_deplacement,11,obj,65489
9941,9941,1483,3287,,entendait,entendre,False,2495,la locomotive,locomotive,vehicule::locomotive,vehicule,VEH,de,source,ud_ancetre_verbe,8,obl:arg,65544
9942,9942,1483,3287,,sortant,sortir,True,2495,la locomotive,locomotive,vehicule::locomotive,vehicule,VEH,de,source,objet,2,obl:arg,65544
9943,9943,1483,3287,,battaient,battre,True,2495,la locomotive,locomotive,vehicule::locomotive,vehicule,VEH,de,source,phrase_proche_deplacement,5,obl:arg,65544
9944,9944,1483,3287,,battaient,battre,True,2495,la locomotive,locomotive,vehicule::locomotive,vehicule,VEH,de,source,phrase_proche_deplacement,5,obl:arg,65544
9946,9946,1483,3288,,sentait,sentir,False,2496,le train tout entier,train tout entier,vehicule::train tout entier,vehicule,VEH,,cadre,ud_ancetre_verbe,7,nsubj,65594
9948,9948,1483,3288,,marchant,marcher,True,2496,le train tout entier,train tout entier,vehicule::train tout entier,vehicule,VEH,,cadre,phrase_proche_deplacement,5,nsubj,65594
9949,9949,1483,3288,,pesait,peser,False,2496,le train tout entier,train tout entier,vehicule::train tout entier,vehicule,VEH,,cadre,sujet,17,nsubj,65594
9952,9952,1484,3292,,vit,voir,False,2497,du pont,pont,lieu_precis::pont,lieu_precis,FAC,de,source,objet,2,nmod,65621
9953,9953,1484,3293,,sauta,sauter,True,2498,le convoi,convoi,vehicule::convoi,vehicule,VEH,de,source,sujet,2,nsubj,65627
9953,9953,1484,3293,,sauta,sauter,True,2499,une rive,e rive,toponyme::e rive,toponyme,LOC,de,source,objet,8,obl:mod,65627
9956,9956,1484,3293,,parvint,parvenir,True,2499,une rive,e rive,toponyme::e rive,toponyme,LOC,de,source,phrase_proche_deplacement,10,obl:mod,65627
9956,9956,1484,3293,,parvint,parvenir,True,2500,la station,station,lieu_precis::station,lieu_precis,FAC,de,source,objet,12,dep,65655
