"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"revoguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"milieu";"finalité";"";"Voguer à nouveau.";""
"revoler 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Voler de nouveau ou retourner quelque part en volant. / (P. anal.) Piloter de nouveau un avion. ";"Voler à nouveau. ";""
"revoler 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"(Littér. ou poét.) Revenir, retourner rapidement quelque part. ";"Retourner quelque part en volant.";""
"revoleter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"";"Voleter à nouveau.";""
"revoltiger";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"";"Voltiger à nouveau.";""
"revoyager";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"";"Voyager à nouveau.";""
"rezigzaguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"";"Zigzaguer à nouveau.";""
"ribonborder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"";"Louvoyer en faisant des bordées courtes.";""
"ricocher";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";" Faire un ricochet sur l'eau. / [Le suj. désigne un projectile] Être renvoyé dans une autre direction après avoir frappé le sol ou un obstacle.";"Faire ricochet.";""
"riffler";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Égratigner, écorcher; p. méton., fouetter.";"Effleurer, raser, toucher à peine, passer près.";""
"rigaudonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser le rigaudon, s'ébattre joyeusement.";""
"rôdailler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"Rôder ça et là, traîner, tourner autour de.";"Rôder.";""
"rôdasser";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"";"Rôdailler, rôder.";""
"rôder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"Errer, aller et venir dans un lieu avec une intention hostile ou suspecte. / Aller et venir dans un lieu ou tourner autour de quelqu'un dans un but intéressé. / Errer, aller ça et là, flâner, se promener sans but, au hasard. Synon. fam. déambuler. / Vagabonder, divaguer, errer en quête de nourriture.";"Errer avec une intention hostile ou suspecte. / Errer sans but précis, au hasard.";""
"rôdiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"";"Rôdailler, rôder.";""
"rouler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"entraînement";"Être animé d'un mouvement de rotation qui entraîne une translation. / Avancer, se déplacer en appui sur une surface, en tournant sur soi-même, sous l'effet d'une impulsion, de la pesanteur.";"Avancer en tournant sur soi-même. / Faire avancer une chose en la faisant tourner sur elle-même.";""
"ruisseler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"forme de la trajectoire";"(Le suj. désigne un liquide) Couler, s'écouler de façon continue. ";"Couler en forme de ruisseau. / S'étendre tel un ruisseau. / Couler en manière de ruisseau, en parlant d'un liquide sur un corps quelconque.";""
"s'à-plat-ventrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"";"Se mettre à plat ventre.";""
"s'abattre";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"vitesse";"(Le suj. est un inanimé, plus rarement un animal ou un homme) Tomber brusquement ou perdre sa position verticale, sous l'effet d'une force ou d'un choc violents. / Tomber brusquement et violemment sur un être (animé) de manière à le priver de ses forces ou de sa vie.";"Tomber brusquement.";""
"s'abîmer 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Tomber, s'écrouler au fond d'une cavité, d'un creux de l'espace terrestre, marin, cosmique, de manière à disparaître momentanément ou définitivement.";"(Aéronautique) Amerrir d’urgence, s’engloutir.";""
"s'abîmer 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Tomber, s'écrouler au fond d'une cavité, d'un creux de l'espace terrestre, marin, cosmique, de manière à disparaître momentanément ou définitivement.";"(Aéronautique) Amerrir d’urgence, s’engloutir.";""
"s'abouler";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Arriver rapidement.";"(Argot) Arriver, survenir avec une certaine soudaineté.";""
"s'abriter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se mettre à l'abri.";"Se mettre à l’abri.";""
"s'absenter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se rendre absent.";"";""
"s'acatouner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"";"(Argot) S'accroupir, s'asseoir sur ses talons, se recroqueviller.";""
"s'accoler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"";"Se serrer l'un contre l'autre.";"";""
"s'accrocher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"";"S'attacher de toutes ses forces à quelque chose. / S'attacher l'un à l'autre (comme par des crochets). / Se heurter réciproquement.";"Se suspendre. / Se cramponner.";""
"s'accroupir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Se baisser, se ramasser sur soi-même (en ployant les genoux). / ";"Se tenir comme assis sur ses talons.";""
"s'acheminer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Aller à pied, se déplacer, se diriger vers un lieu. / Se mettre en chemin, avancer vers.";"Se diriger vers.";""
"s'affaler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"(En parlant d'une pers. qui ne peut plus se tenir droit) Se laisser tomber d'épuisement, s'effondrer pesamment, de tout son long. Anton. se redresser. / (En parlant d'un navire, ou, p. méton., de navigateurs) Être porté vers la côte sous l'effet du vent et sans pouvoir se relever, s'échouer. Anton. se relever. / (En parlant d'un animal, ou d'une chose quelconque, abstr. ou concr.) Tomber pesamment.";"Se laisser glisser le long d’un cordage, etc., pour descendre plus vite. / (Par extension) (Familier) Se laisser tomber, se vautrer ou, simplement, tomber.";""
"s'afficher";"Mouvement inféré";"";"télique";"";"";"";" Se montrer ostensiblement.";"";""
"s'agenouiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Se mettre à genoux.";"Se mettre à genoux ; faire une génuflexion.";""
"s'agglutiner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"puissance de la force";" Se rassembler pour former une masse compacte ou un tout cohérent.";"Se coller, se serrer.";""
"s'agrafer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"instrument";"";"S'attacher, se suspendre pour ainsi dire à lui (Extrêmement vulgaire).";"";""
"s'agriffer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"instrument";"";"S'accrocher, se maintenir avec les griffes. / (P. ext., fam.) S'accrocher, se maintenir avec les mains, s'agripper.";"S'attacher avec les griffes. / S'attacher avec les mains.";""
"s'agripper";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"";"(Le suj. désigne une pers. ou une partie du corps hum. notamment les mains) Se saisir de quelque chose (de manière à s'y accrocher); se cramponner.";"Se saisir avidement.";""
"s'ajouter";"Mouvement inféré";"";"télique";"";"";"";"Se mettre en plus.";"S’additionner.";""
"s'ajuster";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se conformer, s'accommoder à. / Se préparer, se mettre en posture.";"";""
"s'alarguer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Gagner le large, prendre la haute mer, s'éloigner d'une côte, d'un récif, d'un vaisseau.";"Se mettre au large, s'éloigner de la côte ou d'un navire.";""
"s'aligner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";" Être rangé côte à côte sur une ligne droite. / Se mettre en ligne.";"Se mettre en ligne.";""
"s'allonger";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Devenir plus long dans l'espace. / S'étendre, se développer sur toute sa longueur. / (Fam.) Tomber par terre, s'étaler de tout son long.";"S’étendre, se coucher.";""
"s'amarrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"";""
"s'amener";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Pop. et fam.) Venir. / Arriver.";"Venir. / Arriver.";""
"s'ancrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"(Mar.) Mouiller.";"S’attacher, s’accrocher. / S'établir, se fixer de façon solide et durable.";""
"s'approcher";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Venir près de..., aller se placer près de quelqu'un ou de quelque chose.";"Devenir proche.";""
"s'arracher 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"effort";"Se tirer ou s'éloigner d'un lieu avec effort, avec difficulté ou à regret.";"";""
"s'arracher 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"vitesse";"(Pop.) S'en aller vite, brutalement, s'enfuir, s'évader.";"(Familier) S’en aller.";""
"s'arrêter";"Mouvement inféré";"";"télique";"";"";"";" Cesser d'avancer. / Faire un arrêt, une station. /  Ne pas aller plus loin que, ne pas s'étendre au-delà de. / Faire halte. / Séjourner dans un lieu, interrompre un voyage.";"Cesser d’avancer. /  Rester quelque temps dans un lieu sans en sortir. ";""
"s'arrimer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Emp. pron. de arrimer (Ranger en fixant solidement).";"";""
"s'asseoir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Se mettre sur un siège, ou sur quelque chose qui fait office de siège, dans la position d'appui sur le derrière. Synon. se mettre sur son séant.";"Se mettre sur son séant.";""
"s'attabler";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"S'installer à table pour un certain temps, surtout pour boire, manger, mais aussi pour jouer, écrire, lire, travailler, bavarder.";" S’asseoir à table avec l’idée de s’y mettre à l’aise et d’y demeurer quelque temps.";""
"s'attacher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"instrument";"Se fixer, être fixé à une personne, un animal, une chose, à l'aide d'un objet qui lie.";"S’appliquer vivement, s’intéresser à une chose.";""
"s'auto-accrocher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"";"";"S'accrocher à soi-même.";""
"s'auto-agglutiner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"puissance de la force";"";"S'agglutiner sans intervention extérieure.";""
"s'auto-agripper";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"";"";"S'agripper tout seul.";""
"s'auto-aligner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"";"S'aligner soi-même.";""
"s'auto-arracher 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"effort";"";"S'arracher soi-même.";""
"s'auto-arracher 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"vitesse";"";"S'arracher soi-même.";""
"s'auto-arrêter";"Mouvement inféré";"";"télique";"";"";"";"";"S'arrêter de soi-même.";""
"s'auto-arrimer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"S'arrimer soi-même, tout seul.";""
"s'auto-embrigader";"Mouvement inféré";"";"télique";"manière";"(re)configuration de la cible";"";"";"S'embrigader soi-même.";""
"s'auto-évaporer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"(re)configuration de la cible";"";"";"S'évaporer tout seul.";""
"s'auto-extraire";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"S'extraire tout seul.";""
"s'auto-positionner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"Se positionner tout seul.";""
"s'auto-propager";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"extension";"";"Se propager par soi même.";""
"s'avancer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Se porter en avant. / Faire saillie, sortir d'un alignement.";"";""
"s'aventurer";"Mouvement inféré";"";"télique";"manière";"finalité";"";"(Rare) Se laisser aller à l'aventure, au hasard. / S'engager dans une aventure, se jeter dans un danger, courir un risque.";"Se hasarder, se mettre à l’aventure.";""
"s'écarter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se disjoindre en deux parties, en deux groupes. / Se disperser, se pousser. / S'éloigner; prendre une direction différente de celle que l'on s'était assignée.";"Se séparer ; s'éloigner.";""
"s'échapper";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"discrétion";"Se sauver, s'enfuir. / S'esquiver, sortir d'une manière discrète.";"S’enfuir. / En parlant d’une chose, sortir d’un lieu, d’un endroit, d’une autre chose où elle était retenue, enfermée, contenue.";""
"s'échouer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se jeter sur le sable du rivage, sur un haut-fond. / Arriver dans un lieu inattendu et s'y installer.";"Faire reposer sur le sable une embarcation.";""
"s'éclipser";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"discrétion";"Disparaître brusquement. / (Fam.) Disparaître furtivement.";"S'absenter ou disparaître tout d'un coup.";""
"s'écouler";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"(re)configuration de la cible";"vitesse";"Couler lentement et régulièrement. / S'en aller, se retirer d'un lieu lentement et de façon progressive.";"Couler hors de quelque endroit. / (Par analogie) Se retirer du lieu où elle se trouve, en parlant de la foule.";""
"s'écrabouiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"entraînement";"(re)configuration de la cible";"(Fam.) S'écraser, se broyer, se mettre en bouillie.";"S'écraser, se détruire, s'anéantir.";""
"s'écraser 1";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"entraînement";"puissance de la force";"S'écraser en tombant contre; s'aplatir, éclater.";"Venir heurter violemment la surface d’un objet plus rigide et plus large, au point de se déformer.";""
"s'écraser 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"entraînement";"(re)configuration de la cible";"";"";""
"s'écrouler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"entraînement";"(re)configuration de la cible";"";"";""
"s'effondrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"entraînement";"(re)configuration de la cible";"";"";""
"s'égarer";"Mouvement inféré";"";"télique";"";"";"";"S'écarter du chemin que l'on doit suivre et ne pouvoir le retrouver. / S'écarter intentionnellement de tout chemin et aller au hasard. Synon. errer, flâner. ";"Se mettre hors du droit chemin. / Se perdre dans un lieu, dans un espace.";""
"s'élancer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Se lancer en avant. / (Le suj. désigne un inanimé qui a une certaine hauteur) Se dresser; se montrer (d'une forme haute et mince). ";"Se lancer en avant avec impétuosité.";""
"s'élargir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Devenir plus large; augmenter dans le sens de la largeur. / Devenir plus étendu, plus vaste.";"Devenir plus large.";""
"s'élever";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Se mettre, se porter vers le haut.";"Se mettre plus haut, se porter plus haut. / (Sens passif) Être dressé.";""
"s'éloigner";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aller au loin ou plus loin; quitter un lieu, une personne.";"Se mettre loin de, à distance.";""
"s'embarquer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Monter à bord d'un bateau. / Monter à bord d'un moyen de transport quelconque. ";"Entrer dans un vaisseau ou dans quelque autre bâtiment pour faire route.";""
"s'emberlificoter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"S'emmêler (dans quelque chose).";"S'embrouiller, s'embarrasser.";""
"s'embobiner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"S'enrouler autour de quelque chose de circulaire. / S'envelopper ou s'empêtrer dans quelque chose.";"";""
"s'emboîter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se mettre, se ranger dans un objet destiné à contenir tout ou partie d'une chose.";"S'ajuster exactement.";""
"s'embourber";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'enfoncer dans de la boue ou dans un bourbier.";"Se mettre dans la bourbe.";""
"s'embrigader";"Mouvement inféré";"";"télique";"manière";"(re)configuration de la cible";"";"Se constituer en brigade, entrer dans une brigade.";"";""
"s'embringuer";"Mouvement inféré";"";"télique";"";"";"";"S'engager de manière embarrassante dans un groupe constitué en vue d'une entreprise commune, se placer dans une situation inconfortable.";"";""
"s'embrocher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"";""
"s'embusquer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se poster en embuscade. / Se dissimuler pour observer sans être vu.";"Se mettre en embuscade.";""
"s'emmancher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'ajuster dans ou sur un manche.";"S’ajuster au manche.";""
"s'emmurer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'enfermer dans un endroit que l'on murait.";"S'enfermer entre des murs.";""
"s'empaler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Tomber sur un objet pointu qui s'enfonce dans le corps.";"";""
"s'empêtrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se prendre les pieds ou les pattes dans un lien, un obstacle.";"Forme pronominale de ""empêtrer"": Engager dans des entraves, dans ce qui gêne (Note : Il se dit proprement en parlant des pieds, des jambes).";""
"s'empiler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Se mettre en pile. / S'entasser, s'accumuler.";"Se mettre en pile. /  S'entasser.";""
"s'emprisonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'enfermer comme dans une prison. ";"Forme pronominale de ""emprisonner"": Mettre en prison. / (Par extension) Retenir comme dans une prison.";""
"s'en aller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Partir du lieu où se trouve le sujet en question (pour se rendre dans un autre lieu). / Disparaître progressivement, décliner (en parlant du jour); s'écouler (en parlant du temps); s'échapper (en parlant d'un liquide en ébullition), etc.";"Partir, sortir d’un lieu. / S’écouler, se dissiper, s’évaporer.";""
"s'en retourner";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aller là d'où l'on vient, là où l'on vit habituellement. Synon. repartir, rentrer.";"";""
"s'en revenir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Faire retour dans le lieu d'où l'on était parti. Synon. s'en retourner.";"";""
"s'encabaner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"(Région.) Se mettre en menage.";"Se mettre en cabane, s'emprisonner.";""
"s'encager";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se mettre en cage.";"";""
"s'encapsuler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'envelopper dans une capsule.";"Se mettre dans une capsule.";""
"s'encastrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'enchâsser.";"S'enchâsser. / S'insérer entre deux éléments.";""
"s'enchaîner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'attacher avec une chaîne.";"";""
"s'enclaver";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Forme pronominale de ""enclaver"": Fixer, engager une chose dans une autre. Synon. encastrer.";"Avancer dans un autre, s’y prolonger, en parlant d'un terrain.";""
"s'enclôtir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"(Chasse) Entrer dans son terrier, en parlant du gibier.";""
"s'encoigner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se coincer, se serrer comme dans un coin. ";"Se mettre dans un coin.";""
"s'enfermer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se mettre volontairement dans un lieu fermé au monde extérieur. / Demeurer dans une place forte qui va être assiégée et qu'on veut défendre (d'apr. Ac.).";"Se retirer dans un lieu qu’on ferme ensuite, pour que personne ne puisse s’y introduire. / (Militaire) Demeurer dans une place qui va être assiégée et qu’on veut défendre.";""
"s'enfiler 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"S'engager tout droit (dans, sous quelque chose) (Le compl. désigne un lieu par où l'on passe).";"S’engager (...) quelque part.";""
"s'enfiler 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"immixtion";"";"";"Se glisser quelque part.";""
"s'enfoncer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Aller vers le fond, jusqu'au fond. / Entrer profondément dans quelque chose.";"Rentrer dans quelque chose, être aspiré, absorbé par quelque chose. / Avancer en pénétrant.";""
"s'enfouir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'enfoncer dans un trou que l'on creuse dans la terre ou le sable. / S'enfoncer dans ou sous quelque chose. / Se réfugier dans un endroit reculé ou dans une activité absorbante.";"Se blottir pour se cacher. / Vivre dans un lieu isolé.";""
"s'enfuir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"(Le suj. désigne un animé) S'éloigner d'un lieu en fuyant, prendre la fuite d'un mouvement généralement rapide. / S'éloigner, disparaître rapidement.";"Fuir, s’échapper de quelque part.";""
"s'engager";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aller dans une direction (très avant ou trop avant). / (Le suj. désigne une voie de communication) Pénétrer, conduire dans une direction.";"Entrer fort avant ou trop avant quelque part.";""
"s'engluer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Être pris à la glu, dans la glu, dans une matière gluante. / S'empêtrer, s'enliser dans.";"Se faire prendre dans un piège. / S’enferrer, s’empêtrer.";""
"s'engouffrer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se perdre, disparaître dans un gouffre, un abîme. / Entrer, pénétrer précipitamment (dans un passage, dans un lieu). / Pénétrer violemment (dans un lieu par une ouverture).";"Se perdre dans quelque ouverture, dans un gouffre. / Entrer rapidement dans un espace clos.";""
"s'enliser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'enfoncer dans du sable mouvant, dans un sol sans consistance.";"";""
"s'enquiller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"S'introduire, entrer.";"(Familier) Entrer, s'introduire.";""
"s'enraciner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Prendre racine. / Se fixer dans un lieu; s'attacher à un lieu particulier.";"";""
"s'enrégimenter";"Mouvement inféré";"";"télique";"";"";"";"Forme pronominale de ""enrégimenter"": Faire entrer, incorporer dans un régiment ou constituer en régiment (des hommes, des unités militaires plus petites). / Incorporer dans une unité militaire quelconque ou dans l'armée en général.";"";""
"s'enrouler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"S'envelopper dans quelque chose qu'on roule autour de soi. / Se rouler sur soi-même. ";"Se rouler sur soi-même. ";""
"s'ensabler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se remplir de sable; être peu à peu obstrué par du sable. / S'échouer sur un banc de sable. / (Le suj. désigne un poisson) S'ensevelir dans le sable. ";"S'enliser dans le sable.";""
"s'ensevelir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"(Vx.) Disparaître en s'enfonçant (dans quelque chose). ";"";""
"s'entasser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Forme pronominale de ""entasser"": Mettre en tas. / Mettre côte à côte, en grande quantité; accumuler.";"Entrer en masse dans un lieu. / Se blottir.";""
"s'enterrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se cacher, se dissimuler dans, sous (la terre). / Quitter le monde pour vivre dans une retraite cachée.";"Quitter le monde pour vivre dans un endroit reculé.";""
"s'entortiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"S'envelopper dans un objet souple en le serrant par de nombreuses torsions. / Se tortiller autour de quelque chose.";"S’attacher à d’autres en faisant plusieurs tours, en parlant des choses.";""
"s'entr'accoler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"";"S'accoler mutuellement.";""
"s'entr'accrocher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"";"";"S'accrocher mutuellement.";""
"s'entrecogner";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"";"Se cogner mutuellement.";""
"s'entrefiler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"effort";"";"Se faufiler entre deux choses.";""
"s'entreheurter";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"";"Se heurter mutuellement.";""
"s'entremettre";"Mouvement inféré";"";"télique";"";"";"";"";"";""
"s'entreposer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"";""
"s'entresuivre";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"";"Se suivre l'un l'autre, les uns les autres. ";"Aller de suite l'un après l'autre.";""
"s'envenir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"(Vieilli ou Canada) Arriver, venir.";""
"s'envoler";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"schéma moteur";"milieu";"Prendre son vol. / Disparaître brusquement, prendre la fuite sans être vu. / Quitter sa piste de décollage, sa base de lancement. Synon. décoller.  / S'élever en l'air, s'élancer à partir du sol.";"Prendre son vol, quitter un lieu en volant. / S’enfuir, en parlant d’un être animé.";""
"s'esbigner";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"";"S'esquiver, s'en aller, s'enfuir, partir sans se faire remarquer. Synon. décamper, filer en douce.";"Partir rapidement en évitant de se faire remarquer.";""
"s'esquiver";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"";"Se retirer discrètement, sans être remarqué. Synon. s'éclipser, filer à l'anglaise, prendre la tangente (fam.).";" Se retirer sans rien dire et en évitant d’être aperçu, d’une compagnie, d’un lieu où l’on ne veut pas demeurer.";""
"s'établir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"S'installer, apparaître et durer. / S'installer dans un lieu pour un temps déterminé et court.";" Fixer sa demeure, sa résidence en quelque lieu.";""
