"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"sillonner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"extension";"forme de la trajectoire";"(Vx.) Tracer des sillons dans la terre. Synon. labourer. / Parcourir, traverser d'un bout à l'autre ou en tous sens.";"Faire des sillons. /  Laisser des traces de son passage. / Parcourir en tous sens.";""
"sinuer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Suivre un tracé, un parcours sinueux. Synon. ondoyer, onduler, serpenter.";"Tourner fréquemment, changer souvent de direction.";""
"skier";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Pratiquer le ski.";"Se déplacer sur la neige en utilisant des skis.";""
"slalomer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"(Sports) Effectuer un slalom (en ski de piste, ski nautique, automobile, etc.). / (Familier) Avancer, se déplacer en zigzag. Synon. louvoyer.";"Se déplacer en slalom.";""
"smurfer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser le smurf.";""
"sombrer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Plonger; s'enfoncer (dans), se laisser envahir (par). / (En parlant d'un bateau) Être englouti dans l'eau. Synon. s'abîmer, couler. / Se perdre dans, s'enliser dans.";"(Marine) Être submergé, couler par l’effet soit d’un coup de vent, soit d’une voie d’eau. / Être englouti, se perdre, disparaître.";""
"sonder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";" Fouiller un lieu, un objet à l'aide de quelque chose de pointu.";"Plonger, en parlant de la baleine. / Enfoncer, introduire dans certaines choses un instrument fait exprès, pour en connaître la nature ou la qualité.";""
"sortir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Passer du dedans au dehors. / Quitter un lieu. / Aller dehors. / Quitter une maison, un lieu et ses occupants. / Apparaître à l'extérieur, dépasser (de quelque chose).";"Passer du dedans vers le dehors. / Quitter la maison pour se promener, pour faire des visites, etc. / Quitter un lieu où l’on était. / Dépasser de quelque chose.";""
"souquer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"instrument";"puissance de la force";"(Marine) Agir avec force sur les rames (Souquer sur les avirons).";"(Marine) Ramer dur, agir avec force sur les rames, les avirons.";""
"sourdre";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Sortir du sol. Synon. jaillir. / Sortir de, jaillir de. ";"Jaillir, surgir, en parlant d'une source d'eau. /  Arriver comme d'un lieu caché, en parlant d'une manifestation physiologique. / Apparaître, se manifester, se faire sentir (du sein de, provenant de).";""
"speeder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"schéma moteur";"";"Aller très vite, se dépêcher, accélérer.";""
"spiraler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Prendre la forme d'une spirale. / (Sports) (En parlant d'un planeur) S'élever en spirale.";"Se déplacer ou se mouvoir en spirale.";""
"sprinter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"(Sports) Accélérer l'allure pour atteindre sa plus grande vitesse, en particulier à proximité de l'arrivée. / Courir, pédaler le plus vite possible.";"Courir le plus rapidement possible.";""
"stepper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"(Hipp.) (Le suj. désigne un cheval) Aller vivement au trot en allongeant fortement en avant les membres antérieurs. / (Pathol.) (Le suj. désigne une pers.) Marcher avec l'anomalie du steppage.";"Marcher vivement. / Trotter à vive allure en projetant nettement vers l'avant les membres antérieurs.";""
"stopper";"Mouvement inféré";"";"télique";"";"";"";"S'arrêter dans sa marche. / Interrompre son déplacement, s'arrêter.";"Arrêter, en parlant d’un navire à moteur, d’un train, d’une machine.";""
"straffer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"";"Se déplacer latéralement.";""
"suivre";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Venir, se situer après, derrière quelqu'un ou quelque chose. / Se déplacer, se dérouler dans la direction ou dans le sens de quelque chose. / Longer.";"Aller ou venir après. / Aller après pour atteindre et pour prendre. / Accompagner, escorter, aller avec. / Aller, continuer d’aller dans une même direction.";""
"surfer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Pratiquer le surf; faire du surf.";"Glisser sur une vague déferlante, debout sur une planche spécialement conçue à cet usage.";""
"surgir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"vitesse";"Naître, apparaître brusquement à la vue en s'élançant, en s'élevant.";"Sortir de terre, en parlant de l’eau d’une source. / Paraître à la vue en s'élevant. / Arriver ; aborder (Surgir au port).";""
"survenir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Arriver de manière inopinée, dans une situation ou une affaire en cours. Synon. fam. débarquer. / Arriver, se présenter après d'autres.";"Arriver inopinément ; venir tout à coup.";""
"survoler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Voler au-dessus d'un lieu géographique.";"Voler par-dessus.";""
"talonner";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Suivre, poursuivre en serrant de très près.";"Suivre quelqu'un de près, marcher sur ses talons.";""
"tamponner";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Heurter, emboutir un autre véhicule (ou une personne). / Se heurter par accident, se percuter violemment.";"(Familier) Heurter. / (Chemins de fer) Heurter avec les tampons.";""
"tangenter";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Être tangent à.";"Atteindre tout juste, frôler. / Être tangent à. ";""
"tanguer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Se balancer d'avant en arrière; se balancer dans tous les sens.";"Osciller dans un mouvement de tangage.";""
"tanguer 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser le tango.";""
